epoch,lr,loss,iou,val_loss,val_iou,val_dice,val_iou_per_image,val_dice_per_image
0,0.0001,1.1500814966857433,0.0765056071190147,1.112117418876061,0.2620326343477702,0.4060133121485615,0.2630734417894063,0.3685304100038414
1,9.999861209401554e-05,1.0674844682216644,0.31282154615872226,1.0203810490094698,0.3316350261213933,0.4902421809986502,0.3335445822259963,0.4536331870258783
2,9.999444846167473e-05,0.9861221509054303,0.3741791280304136,0.9616022751881526,0.3233041533301217,0.4797522844565036,0.2826061230815169,0.3877087420738997
3,9.998750935981003e-05,0.8992524715140462,0.4138431856001811,0.8999762480075543,0.347889805958941,0.5095526894445551,0.3103225637429001,0.42888954294494797
4,9.997779521645793e-05,0.827819474041462,0.41262048070743323,0.9270359479464018,0.24420995015858704,0.3826587377541667,0.23327835342216588,0.3348241506295716
5,9.996530663083254e-05,0.7598998313769698,0.4360239146473297,0.7484510660171508,0.38088124169654347,0.5392383300594976,0.4087147470143527,0.5311244897293251
6,9.995004437328866e-05,0.696768413297832,0.44929908337576396,0.6862947427309476,0.4309377160065562,0.5882246266638046,0.43134580281185814,0.5417816338570286
7,9.99320093852742e-05,0.6391107370145619,0.4666132241332177,0.6744189464128935,0.4021503840742621,0.5563247207101989,0.4023266079366181,0.50131293185628
8,9.991120277927221e-05,0.5997752351686358,0.47543104796717295,0.6422948323763333,0.37585784342818124,0.5342842360737021,0.4263138790969248,0.5443958910619382
9,9.988762583873216e-05,0.5641665859147906,0.47614781161256414,0.5939851210667537,0.4743290574310516,0.6296993608985609,0.4667252307930937,0.5792648555920836
10,9.986128001799077e-05,0.5544738741591573,0.4862402777419999,0.6219113597503075,0.4366786162475456,0.5883546931112215,0.43429336445773387,0.5382644659661248
11,9.983216694218236e-05,0.5405691075138748,0.4959035666232582,0.5381445013559781,0.48436811123389195,0.6388827275802825,0.49590047365354284,0.6119926952130614
12,9.98002884071386e-05,0.5240029590204358,0.5045583880098725,0.6017022692240201,0.40060357930931334,0.5581537162328174,0.4496252494155025,0.5559749346576196
13,9.976564637927769e-05,0.5088301450014114,0.5070502020497197,0.552361299441411,0.4906228637819728,0.6476526630767578,0.4845962993886833,0.6020334546671978
14,9.972824299548309e-05,0.4903923044912517,0.5252287027409911,0.5900612510167635,0.46224920309036466,0.620758793475518,0.44802741926967965,0.5667845563584737
15,9.968808056297168e-05,0.4863188792951405,0.5185829431838233,0.5417483733250544,0.5053489098884292,0.657711251824124,0.4967296859203155,0.6150721772642544
16,9.96451615591515e-05,0.47160157980397344,0.5405310175089819,0.4937051837260906,0.5153563321408409,0.6639211421617854,0.5361999692112713,0.636571965975988
17,9.959948863146886e-05,0.4594518579542637,0.5500399305022482,0.5084995058866647,0.5099004917585085,0.6631870035123537,0.5162585558245594,0.6261199063830638
18,9.955106459724508e-05,0.44326415029354393,0.5485791296016641,0.499307807133748,0.5239438424916174,0.6714564626201047,0.5332173593149223,0.6349705901411167
19,9.94998924435027e-05,0.4651353193912655,0.5340687858886504,0.5224188483678378,0.5005018113703408,0.6528910840880188,0.515860823254869,0.6236375302391566
20,9.944597532678119e-05,0.4350132541731,0.5630614604078915,0.4960129100542802,0.5099261246615837,0.6575662735324681,0.5437073066107098,0.6377103190081377
