epoch,lr,loss,iou,val_loss,val_iou,val_dice,val_iou_per_image,val_dice_per_image
0,0.001,0.2385679439175874,0.7204097440722677,0.3216514165584858,0.6464498247083416,0.7798726177553157,0.6677814181766918,0.7619730221216845
1,0.0009997557473810372,0.22618486802093685,0.723404997188083,0.3216445693602929,0.6464464916163807,0.7798702763547188,0.6677677585809838,0.7619656861029533
2,0.0009990232305719946,0.23293669300619513,0.7208946933480289,0.32165032625198364,0.6464568772023633,0.7798778582885311,0.6677611225631412,0.7619512330230739
3,0.0009978031724785247,0.23747507331427187,0.7224165343020843,0.3216469397911659,0.6464433523173492,0.7798675042849071,0.6677560318109097,0.7619487544825042
4,0.0009960967771506667,0.23975422093644738,0.7196855667506571,0.321637422304887,0.6464555329456941,0.7798771113049644,0.6677602267881045,0.761955208687167
5,0.0009939057285945933,0.22921500343363732,0.7282643450834994,0.32162900612904477,0.6464710112877604,0.7798868552504001,0.6677734286884559,0.7619639808781107
6,0.0009912321891107012,0.23508326045703143,0.7129477987798374,0.32162292003631593,0.6464805993200399,0.779894806356684,0.6677701174582851,0.7619628239326575
7,0.0009880787971596802,0.24033364665228873,0.7226392994945658,0.32162306308746336,0.6464799030656206,0.779894741812934,0.6677669706397452,0.7619597828396927
8,0.0009844486647586726,0.23539931257255375,0.7209229234421141,0.3216117125291091,0.6464897814246298,0.7799005505902481,0.6677522808259825,0.7619465314036327
9,0.000980345374410087,0.23156784835737199,0.7276664264372241,0.32160803721501274,0.6465027982127367,0.7799106896552948,0.6677677777262488,0.7619533342325439
10,0.0009757729755661012,0.22571359749417752,0.7312031410415057,0.32160295431430524,0.6465193005920643,0.7799225639522938,0.6677738781590471,0.7619595547765777
11,0.0009707359806323418,0.22801979875657707,0.7265297067406239,0.32160506615271933,0.6465331741406782,0.7799316333247375,0.6677748917697229,0.7619548993504552
12,0.0009652393605146846,0.2500328498426825,0.6937416300378417,0.3215960044127244,0.6465491655955423,0.779943355016909,0.6677889287779452,0.76197045626903
13,0.0009592885397135708,0.23597295174840838,0.7224711104472961,0.32159492694414576,0.6465360882585455,0.7799335808353027,0.6677645626537243,0.7619493565508685
14,0.0009528893909706799,0.25451960996724665,0.6847403057447302,0.32158074195568376,0.6465702862931773,0.7799598619742553,0.6677759312142189,0.7619615752067627
15,0.0009460482294732424,0.2381435545394197,0.710539335800697,0.32157110159213725,0.6465720726190355,0.7799584680090516,0.6677872727562187,0.76197060218959
16,0.0009387718066217127,0.2400053625460714,0.7165688138298311,0.32157306671142577,0.6465596653914311,0.7799510548775286,0.6677694020516648,0.7619558353039809
17,0.0009310673033669524,0.2308803527848795,0.7136819415403259,0.3215653190245995,0.6465739438227854,0.7799608434634115,0.6677748470014988,0.7619589199794402
18,0.0009229423231234977,0.23547158017754555,0.7128324007712792,0.32156642216902515,0.6465494760524676,0.7799433178539547,0.6677529772699132,0.7619399087603872
19,0.0009144048842659084,0.2362332430202514,0.7242167863789168,0.3215552174128019,0.6465667599611992,0.7799556106395791,0.667730943904561,0.7619220839816315
20,0.0009054634122155993,0.2321822140365839,0.7182477196162765,0.321546273965102,0.6465952766073109,0.7799759087692208,0.66776245972023,0.7619447447717724
21,0.0008961267311259671,0.23935391288250685,0.7077656241080355,0.3215265182348398,0.64661062158294,0.7799863439196939,0.6677672960100206,0.761946033905625
22,0.000886404055174016,0.23681660136207938,0.7245619691438543,0.32152503637167124,0.6466023581340158,0.7799813446736916,0.6677506264693336,0.7619356713309487
23,0.0008763049794670778,0.2415336110861972,0.7176665992234714,0.3215186201609098,0.6466225305968165,0.7799953909820424,0.6677087244528584,0.7619019022086149
24,0.000865839470573599,0.237119130208157,0.7238582185824063,0.321508331482227,0.6466880106700823,0.7800431254127642,0.6677538774257631,0.7619393567080347
25,0.0008550178566873413,0.23007511079777032,0.7249459241136562,0.32148901590934165,0.6466853023803864,0.7800390756735789,0.6677403614792082,0.7619260929949057
26,0.0008438508174347012,0.23787895624991506,0.7176547805210729,0.32148002569492046,0.6467019215936164,0.7800519092959893,0.6677392762393562,0.7619247266657792
27,0.000832349373335208,0.23734183586202562,0.7213721598576294,0.3214812994003296,0.6467336255856468,0.7800736180060542,0.6677675980826592,0.7619445370895112
28,0.0008205248749256018,0.22907016705721617,0.7230660967095343,0.3214656820664039,0.6467471546431389,0.7800823606643996,0.667758677263158,0.761935841440111
29,0.0008083889915582238,0.24876987736206502,0.7074477661363188,0.3214552860993605,0.6467761711645595,0.7801028147458501,0.6677834512473181,0.7619584002209966
30,0.0007959536998847747,0.2363592181354761,0.7133711808926192,0.32144162104679985,0.6467917230224478,0.780112938435324,0.6677806013074573,0.761959901211023
