run,arch,thresh,clean_rate,mean_fp,val_iou
busi_split41_aug,UNext,0.1,0.007518796992481203,5904.142857142857,0.6089401954613349
busi_split41_aug,UNext,0.2,0.007518796992481203,5065.616541353384,0.6190978191081747
busi_split41_aug,UNext,0.3,0.007518796992481203,4592.225563909775,0.6224360794170779
busi_split41_aug,UNext,0.4,0.007518796992481203,4239.413533834587,0.6239405872088547
busi_split41_aug,UNext,0.5,0.015037593984962405,3945.406015037594,0.6237048302310974
busi_split41_aug,UNext,0.6,0.022556390977443608,3667.5714285714284,0.6222123852257255
busi_split41_aug,UNext,0.7,0.03007518796992481,3380.4135338345864,0.6190244549595365
busi_split41_aug,UNext,0.8,0.045112781954887216,3046.503759398496,0.6134117153828611
busi_split41_aug,UNext,0.9,0.07518796992481203,2513.9624060150377,0.5982899634388902
busi_split41_aug_s101,UNext,0.1,0.015037593984962405,5665.165413533835,0.6169230463273241
busi_split41_aug_s101,UNext,0.2,0.03007518796992481,4800.954887218045,0.6322956260312256
busi_split41_aug_s101,UNext,0.3,0.06015037593984962,4320.278195488721,0.6367718126229023
busi_split41_aug_s101,UNext,0.4,0.07518796992481203,3960.0751879699246,0.6375862372017401
busi_split41_aug_s101,UNext,0.5,0.07518796992481203,3653.6090225563908,0.6362860868943833
busi_split41_aug_s101,UNext,0.6,0.07518796992481203,3359.496240601504,0.6331946190496164
busi_split41_aug_s101,UNext,0.7,0.07518796992481203,3043.06015037594,0.6291350782640326
busi_split41_aug_s101,UNext,0.8,0.09022556390977443,2686.2105263157896,0.6219243221486248
busi_split41_aug_s101,UNext,0.9,0.15037593984962405,2156.6691729323306,0.60237238587812
busi_split41_wave,UNext_Wave,0.1,0.07518796992481203,3862.0676691729323,0.605777698974343
busi_split41_wave,UNext_Wave,0.2,0.10526315789473684,3313.4285714285716,0.6182800206965239
busi_split41_wave,UNext_Wave,0.3,0.11278195488721804,3002.2105263157896,0.622753403679364
busi_split41_wave,UNext_Wave,0.4,0.15037593984962405,2779.2706766917295,0.6246404232731756
busi_split41_wave,UNext_Wave,0.5,0.15789473684210525,2584.90977443609,0.6246941718118295
busi_split41_wave,UNext_Wave,0.6,0.17293233082706766,2404.2255639097743,0.6237847914363619
busi_split41_wave,UNext_Wave,0.7,0.21804511278195488,2214.9248120300754,0.621266194413769
busi_split41_wave,UNext_Wave,0.8,0.23308270676691728,1995.187969924812,0.6151064179772816
busi_split41_wave,UNext_Wave,0.9,0.2631578947368421,1633.781954887218,0.5996642434516336
busi_split41_wave_s101,UNext_Wave,0.1,0.08270676691729323,4312.466165413533,0.597670281277486
busi_split41_wave_s101,UNext_Wave,0.2,0.13533834586466165,3676.7894736842104,0.6088468644712531
busi_split41_wave_s101,UNext_Wave,0.3,0.14285714285714285,3308.218045112782,0.6141722377008019
busi_split41_wave_s101,UNext_Wave,0.4,0.15037593984962405,3036.2706766917295,0.6173428964826086
busi_split41_wave_s101,UNext_Wave,0.5,0.15789473684210525,2813.1804511278197,0.6190532682123208
busi_split41_wave_s101,UNext_Wave,0.6,0.17293233082706766,2606.902255639098,0.6184758587447821
busi_split41_wave_s101,UNext_Wave,0.7,0.18796992481203006,2399.2330827067667,0.6165107800260305
busi_split41_wave_s101,UNext_Wave,0.8,0.19548872180451127,2160.3834586466164,0.6102077724597199
busi_split41_wave_s101,UNext_Wave,0.9,0.24060150375939848,1784.406015037594,0.5935736006956288
busi_split42_aug,UNext,0.1,0.0,6241.1578947368425,0.612970281879896
busi_split42_aug,UNext,0.2,0.007518796992481203,5231.954887218045,0.6282046107212017
busi_split42_aug,UNext,0.3,0.015037593984962405,4679.849624060151,0.6327339598683306
busi_split42_aug,UNext,0.4,0.015037593984962405,4291.172932330827,0.6341343795978421
busi_split42_aug,UNext,0.5,0.022556390977443608,3968.8872180451126,0.6339797560549123
busi_split42_aug,UNext,0.6,0.03007518796992481,3673.902255639098,0.6329025248960362
busi_split42_aug,UNext,0.7,0.03759398496240601,3379.0526315789475,0.6307118483688766
busi_split42_aug,UNext,0.8,0.05263157894736842,3037.6390977443607,0.6263053557858567
busi_split42_aug,UNext,0.9,0.06015037593984962,2502.3233082706765,0.6100767708637912
busi_split42_wave,UNext_Wave,0.1,0.05263157894736842,5216.834586466165,0.6126240188966278
