epoch,lr,loss,iou,val_loss,val_iou,val_dice,val_iou_per_image,val_dice_per_image
0,0.001,0.25462327420245856,0.7006904821930408,0.343546489568857,0.6138466631300168,0.7544813329464586,0.6533667889515962,0.7467403637572749
1,0.0009997557473810372,0.2498993711778894,0.7041746237046301,0.3366298262889569,0.6155914408534268,0.756370727043399,0.6589250224406076,0.7583883995447229
2,0.0009990232305719946,0.25538272387348115,0.6929757120828387,0.3271661483324491,0.6220142287883881,0.7608031523741938,0.6662685834959914,0.7643808229874102
3,0.0009978031724785247,0.26757133612409234,0.6857713673624533,0.34353037338990433,0.6168915499272409,0.7574635252641894,0.6488913335584596,0.7435767236709248
4,0.0009960967771506667,0.25274185510352254,0.7091049882996434,0.3394133622829731,0.6148447360066005,0.7549595736147675,0.6601834545352162,0.7530595029375569
5,0.0009939057285945933,0.24369953328277916,0.7186523385122406,0.3367314861370967,0.6242715218472156,0.7631459937849647,0.6603934456192719,0.7513590405340709
6,0.0009912321891107012,0.2524907486513257,0.7086360944647528,0.32921829498731175,0.6232675114607509,0.7620582757282541,0.6657482421604274,0.7605971870119195
7,0.0009880787971596802,0.23512873076833785,0.723758039424576,0.3384677446805514,0.6121871612607438,0.7539556038604117,0.6621397900373841,0.7578425749521983
8,0.0009844486647586726,0.24318313179537654,0.7079562096034807,0.3292652203486516,0.6360936859466259,0.7716487738398563,0.6662983247371642,0.757649476953815
9,0.000980345374410087,0.2513054892187938,0.6996406428119929,0.32779803092663107,0.6286468788990005,0.7662198398876265,0.6635829040260367,0.7587573691894819
10,0.0009757729755661012,0.2441553248791024,0.7168410728607307,0.3337153847400959,0.6291841427972157,0.7663488366778236,0.6596523335168445,0.753802965900243
11,0.0009707359806323418,0.23279186652507633,0.7254811271761894,0.33713693343676054,0.6241496107580893,0.7628601856002138,0.661386467716896,0.751721056940061
12,0.0009652393605146846,0.24044495599810034,0.7148653054703552,0.33433809647193324,0.6259424716383897,0.7634996821948433,0.6604349086036713,0.7553967098588906
