epoch,lr,loss,iou,val_loss,val_iou,val_dice,val_iou_per_image,val_dice_per_image
0,0.0001,1.1099137421697378,0.19866646048048187,1.0535730031820445,0.2805627525616118,0.43265278548201697,0.27589863923878993,0.38522951827211294
1,9.999861209401554e-05,0.979763938114047,0.3336212343709513,0.9195041097127474,0.34188066410381124,0.5007393115162156,0.3333766561364045,0.44185396458168835
2,9.999444846167473e-05,0.8631967660039663,0.39027299393148196,0.8337158432373634,0.3758198049589913,0.533930491763241,0.33871466131106887,0.4480142995922495
3,9.998750935981003e-05,0.7711441749706864,0.4014958968567833,0.7864895215401283,0.3617203821368201,0.5206976465965614,0.3219948642125806,0.4313837333063687
4,9.997779521645793e-05,0.6967550297267735,0.42715712339190537,0.7224744631693913,0.3522171814944104,0.5148744841581256,0.39134970308664535,0.5055832820802523
5,9.996530663083254e-05,0.6224585035815835,0.4499939673161153,0.7174633337901188,0.3753830747740653,0.5353640568139308,0.3537911612494931,0.46762484257364006
6,9.995004437328866e-05,0.5965867429040372,0.45212347151572696,0.6742117579166705,0.41454489541960315,0.5752181965182654,0.3825887134974213,0.5015366454537635
7,9.99320093852742e-05,0.5706582237035036,0.46910370085260766,0.6302560806274414,0.40069577552610963,0.5555788307944136,0.4346703521387676,0.5325695806642187
8,9.991120277927221e-05,0.558602208737284,0.47690009336793326,0.6280830346621,0.36638559496231005,0.5229665340078498,0.43218135477779446,0.5333977260965234
9,9.988762583873216e-05,0.5494452640414238,0.4837939852334344,0.6247783853457525,0.44456522158718303,0.6025471023756803,0.4245429408261154,0.5425299072394284
10,9.986128001799077e-05,0.521784306038171,0.4971274466082999,0.6233476794683016,0.4364474551279126,0.59120203260002,0.44523213155692193,0.5433686672291141
11,9.983216694218236e-05,0.5325107523240149,0.48200768479048084,0.5717990201253157,0.4426313994320786,0.5985336797630157,0.4772021973034609,0.578372737160215
12,9.98002884071386e-05,0.4989798725582659,0.5218470100225305,0.6035864719977746,0.4049824834848111,0.564101894138748,0.45991947025073837,0.5613566405249169
13,9.976564637927769e-05,0.4830134455114603,0.5343064809749792,0.5534021171239706,0.47205426172602694,0.6259764145540646,0.49564379704550504,0.5948458129022303
14,9.972824299548309e-05,0.48036007583141327,0.5308900639219221,0.5891709722005404,0.46411490659664784,0.6183402064919546,0.46592235275454164,0.571226827000636
15,9.968808056297168e-05,0.467557474039495,0.5430194086004545,0.5764680477289054,0.4455947152181996,0.6055702007879632,0.4722490657923337,0.5846982408433795
16,9.96451615591515e-05,0.4730433854274452,0.5317054599896369,0.5708086575453098,0.4803517594117415,0.6284472165418609,0.4982273200220304,0.5958471236787533
17,9.959948863146886e-05,0.45368970977142453,0.5455061836519347,0.5858918267946976,0.4766517179430705,0.6287994575561366,0.4727762104124496,0.5755136024782327
18,9.955106459724508e-05,0.4587005218490958,0.5477786910229737,0.603741638477032,0.3853164152736125,0.5393104469283287,0.4692463771313673,0.5570069928944477
19,9.94998924435027e-05,0.4434439621400088,0.5666831606731796,0.5253533707215235,0.47053846049585923,0.6261097668872236,0.5100812907351951,0.617440254584353
20,9.944597532678119e-05,0.4445054086390883,0.550037863028734,0.563091622866117,0.4377245100519671,0.5986053273456388,0.48190294004501855,0.5881429464495836
21,9.938931657294229e-05,0.4234668333083391,0.5757248203628605,0.5123401559316195,0.5021804941483812,0.6529489097808292,0.5243721826086618,0.6237435572237383
22,9.932991967696483e-05,0.4296991617884487,0.5759308979068198,0.5147847404846778,0.48544953526071205,0.6407513727987095,0.5185425914723388,0.6219050593045049
23,9.926778830272912e-05,0.42556997993960977,0.5692779461777375,0.48970193496117226,0.4989718818932874,0.6520837804780283,0.5391926815663476,0.644117401583854
24,9.9202926282791e-05,0.4113213636446744,0.5698951833986962,0.5127257768924419,0.5049160093023761,0.6603388849009038,0.5052995314477791,0.6165965593946618
25,9.913533761814537e-05,0.40086826984770596,0.5900705952776626,0.49827540471003606,0.5035692116924605,0.6540166376283113,0.544260132701097,0.6434670257700321
26,9.906502647797946e-05,0.39958443958312273,0.5823264514752707,0.5173077647502605,0.4982689792145461,0.6464898445529309,0.5311584696682671,0.6219479327158898
