epoch,lr,loss,iou,val_loss,val_iou,val_dice,val_iou_per_image,val_dice_per_image
0,0.0001,1.0839585606008768,0.0603390506721002,1.0163162304804876,0.004790981184208606,0.009518064365518041,0.005022227060383781,0.009862499443090885
1,9.999861209401554e-05,0.9615793945267797,0.06755765216710112,0.9796934824723463,0.2127204669347359,0.34640079806206436,0.18539977235608074,0.2723862419943641
2,9.999444846167473e-05,0.8685177033767104,0.2980454771459425,0.8387003660202026,0.314095840021382,0.4687359030200267,0.284547233214318,0.3892725016901491
3,9.998750935981003e-05,0.7809605440124869,0.35141152096393585,0.7927223196396461,0.3380746071988832,0.49367343734802666,0.3096508894489404,0.41120405959343004
4,9.997779521645793e-05,0.721878906711936,0.37269485363568944,0.7286510705947876,0.3141663036502249,0.4598912689606388,0.3627178538625433,0.460775131014547
5,9.996530663083254e-05,0.7008064826950431,0.3781988729669095,0.678512481542734,0.354246679892778,0.5056511503380448,0.40246140597619373,0.5087996111529002
6,9.995004437328866e-05,0.6721776928752661,0.3943118519052342,0.7518275540608627,0.2848476150273507,0.4220753735876164,0.3403386986075227,0.4253454694541548
7,9.99320093852742e-05,0.664042130112648,0.41139351173826166,0.6282702867801373,0.4508449111480192,0.611950406676186,0.42846793641278225,0.5504187593564587
8,9.991120277927221e-05,0.6338020600378513,0.4062068275637465,0.6479179749122033,0.41728160271211495,0.5801905569450873,0.3981146106073577,0.5250935948294967
9,9.988762583873216e-05,0.6183129996061325,0.42851425528463105,0.7671689097697918,0.3417907574701719,0.5023378050178993,0.31643466367273276,0.4345309258282692
10,9.986128001799077e-05,0.6068008444271982,0.44484572881627865,0.6357074361581069,0.3738983436843008,0.5279407084541275,0.41790010949073175,0.5194081747351237
11,9.983216694218236e-05,0.6045929081737995,0.4343229521540378,0.5963791828889113,0.4623222303015402,0.6243919458112099,0.4376172836183384,0.5615355993839095
12,9.98002884071386e-05,0.5833608941175044,0.4630148421232836,0.5834532801921551,0.4742933394386322,0.6337432606086585,0.45940913669691513,0.5731198278366848
13,9.976564637927769e-05,0.5810015094466507,0.45517403241998766,0.5372844952803392,0.4862991777901512,0.6435538797687416,0.496678647177197,0.6091190249625965
14,9.972824299548309e-05,0.5721332021057606,0.4629769217364841,0.5565269277645991,0.46541952462986463,0.6236193195688522,0.47457029482990803,0.5860446571675851
15,9.968808056297168e-05,0.5640475489199162,0.47268950366751034,0.5542474421171042,0.4776701828047821,0.6338067102044243,0.4894560862853306,0.5973560161363604
16,9.96451615591515e-05,0.5667161426972598,0.4576535200909453,0.5631860687182499,0.476188991566691,0.6334654867831673,0.4632916737411887,0.5747760480649181
17,9.959948863146886e-05,0.5702250259928405,0.4692269492647944,0.5371225737608396,0.4888034557157892,0.6450152267758467,0.49484505533638556,0.6027854720580996
18,9.955106459724508e-05,0.5511284326203167,0.4828944540715381,0.5737978247495797,0.46695336814923155,0.6281951614821533,0.46771665212319613,0.5841097258813567
19,9.94998924435027e-05,0.5535377427004278,0.4773298837430211,0.5623220209891979,0.4836404757103312,0.636674480942806,0.48119182923403525,0.5827136284270757
20,9.944597532678119e-05,0.5486592324450612,0.47663213490936157,0.5616722574600806,0.4810280090891409,0.6409131405319133,0.46053405166583006,0.5805734998404787
21,9.938931657294229e-05,0.5340626575052738,0.5023378361950449,0.6218680964066432,0.39628570984676553,0.5577820336948769,0.42785613704746966,0.5432164085217163
